Episode No.,Reward
1,-56.97741947
2,-148.1576522
3,-174.7418848
4,-233.4777395
5,-407.9590543
6,-58.89149688
7,-87.66290926
8,-77.07060991
9,-83.34665691
10,-350.4805583
11,-246.2165446
12,-106.3113818
13,-108.5479668
14,-135.1647225
15,-389.8401662
16,-226.2871492
17,-296.6797875
18,-82.50130849
19,-375.2948906
20,-83.28731286
21,-328.8945483
22,-211.1942403
23,-114.3817825
24,-326.1144709
25,-296.2027161
26,4.92332156
27,-87.38595441
28,-119.8884847
29,-113.4325763
30,-202.4725006
31,-183.9385268
32,-430.7168608
33,-208.2418415
34,-121.8017353
35,-90.12304172
36,-293.1303192
37,-332.1805862
38,-92.96714824
39,-307.2998282
40,-159.4122987
41,-241.0201261
42,-386.5478244
43,-109.0294029
44,-421.0586243
45,-167.5371893
46,-129.1395019
47,-151.9119257
48,-152.7844679
49,-305.2284943
50,-105.3491202
51,-125.2745047
52,-55.70902387
53,-383.6541917
54,-99.80378008
55,-124.0402525
56,-260.4059863
57,-131.9120959
58,-360.0009968
59,-302.7090706
60,-105.4788509
61,-243.1847094
62,-35.11086802
63,-110.2821312
64,-146.0379872
65,-90.66319792
66,-392.8025968
67,-122.9130465
68,-149.8901782
69,-311.5915147
70,-112.337865
71,-6.342446834
72,-36.02440518
73,-87.93789702
74,-145.5144027
75,-299.9741256
76,-73.42301657
77,-111.6049687
78,-144.8104429
79,-77.93255039
80,-94.67459844
81,-67.59577944
82,-103.6461193
83,-200.2463441
84,-270.3205968
85,-63.50781432
86,-78.64558692
87,-111.7178985
88,-91.81030653
89,-114.3665952
90,-161.2593929
91,-610.5484897
92,-149.4936135
93,-249.7896084
94,-114.2810186
95,-267.4096826
96,-334.3503119
97,-114.2723245
98,-115.2577824
99,-287.5083403
100,44.27064081
101,-173.0079648
102,-83.42788046
103,-221.7872322
104,-63.0068493
105,-120.2722098
106,-277.4850499
107,-61.22663875
108,-243.7598331
109,-306.7668929
110,-218.857462
111,-393.7830892
112,-127.0811293
113,-69.057058
114,-251.0264682
115,-83.74851535
116,-201.11841
117,-310.273567
118,-99.04738143
119,-94.87776206
120,-239.6214187
121,-142.1214706
122,-285.9860166
123,-74.09677873
124,-157.8897719
125,-184.5958516
126,-177.1739632
127,-327.2437525
128,-181.282858
129,-28.4797326
130,-344.5354999
131,20.92532925
132,-142.6429677
133,-80.65323584
134,-310.2137583
135,-411.7803854
136,-75.60823995
137,-182.0915949
138,-212.3165835
139,-113.3034797
140,-118.0753829
141,-402.1321715
142,-82.60888587
143,-119.9520815
144,-199.8078353
145,-91.42720755
146,-110.0288233
147,-100.7761895
148,-256.7114607
149,-40.80574391
150,-492.60735
151,-30.02746329
152,-65.92768093
153,-340.1000531
154,-351.5816876
155,-102.2051324
156,-94.72287521
157,-221.2229788
158,-179.0335281
159,-412.6949056
160,-246.2677852
161,-181.6715998
162,-486.382728
163,-193.3318462
164,-36.81659059
165,-109.9354304
166,-205.7718231
167,-424.5448411
168,-375.2091755
169,-128.7338341
170,-102.8932373
171,-269.6977906
172,-225.3144948
173,-141.4404292
174,-429.8880123
175,-503.5234914
176,-98.11966283
177,-201.8691747
178,-94.20383135
179,-459.9226446
180,-286.1862205
181,-413.3801692
182,-308.8566353
183,-88.62956094
184,-286.8218473
185,-195.0169331
186,-189.4598194
187,-405.6077918
188,-169.7773196
189,-97.94408923
190,-104.275697
191,-21.86021559
192,-73.5372116
193,-209.578071
194,-122.1827364
195,-239.6289613
196,-64.34818873
197,-130.9654685
198,-252.0797249
199,-104.650682
200,-344.2692229
201,-122.0603241
202,-91.12506382
203,-107.5776557
204,-158.6366191
205,-131.1924906
206,-173.6276804
207,-387.6897721
208,-316.7996323
209,-94.18675289
210,-88.2205359
211,-370.6104259
212,-249.8726672
213,-163.0918206
214,-147.2987386
215,-68.33007811
216,-77.283956
217,-105.2425303
218,-136.2017675
219,-85.60887938
220,-106.6876325
221,-117.1942693
222,-119.356029
223,-54.68842304
224,-85.50324278
225,-137.2333678
226,-100.5141949
227,-274.0844791
228,-225.7582005
229,-149.6130132
230,-40.04670365
231,-135.7554674
232,-274.9082465
233,-162.6347644
234,-172.4625142
235,-108.7840053
236,-200.6875557
237,-434.1243647
238,-202.218024
239,-122.5958269
240,-169.2943846
241,-339.4915025
242,-153.7600005
243,-168.2613229
244,-111.9982813
245,-252.4095068
246,-11.38175086
247,-87.60475607
248,-317.3393661
249,-70.61574778
250,-140.4176845
251,-90.74481007
252,-100.363122
253,-123.4131572
254,-173.9673206
255,-92.35649973
256,-122.6575394
257,-304.6482915
258,-101.1734527
259,-217.2979436
260,-122.4865312
261,-233.4097109
262,-40.78296047
263,-48.95210483
264,-282.0884195
265,-95.22376907
266,-339.2580474
267,-381.3516407
268,-118.2848339
269,-195.6081833
270,-259.4523461
271,-155.7067416
272,-52.4338818
273,-130.1112215
274,-103.2059431
275,-224.3348133
276,-108.9171761
277,-164.7954378
278,-68.35584172
279,-131.5556901
280,-94.78077803
281,-99.16816153
282,-66.05382222
283,-48.35321891
284,-365.183533
285,-85.9315974
286,-433.6428145
287,-57.07831467
288,-167.4432057
289,-156.5032489
290,-157.1908039
291,-167.7464546
292,-121.6878348
293,-376.5671429
294,-25.6283327
295,-206.8271403
296,-143.033061
297,-126.9845072
298,-531.4938495
299,-421.5962428
300,-79.12011689
301,-244.5075066
302,-89.9270481
303,-299.0224996
304,-165.4411907
305,-221.9215646
306,-131.8714516
307,-469.1134541
308,-149.5646833
309,-93.56672479
310,-315.0015224
311,-2.448417551
312,-123.2654266
313,-375.7763901
314,-58.22083261
315,-139.2646496
316,-74.5916729
317,-311.8282801
318,-18.98225427
319,-312.3406125
320,-343.7743299
321,-154.8686597
322,-313.9411072
323,-109.1767851
324,-248.964841
325,-34.05701279
326,-268.2871333
327,-246.0895288
328,-151.0319316
329,-261.6653171
330,-232.6537107
331,-246.6621546
332,-103.2958699
333,-146.6647027
334,-86.18255895
335,-158.0489655
336,-167.0482232
337,-363.1478145
338,-264.450824
339,-487.1560247
340,-126.1979628
341,-260.5877132
342,-72.38099072
343,-171.2818922
344,-346.9760862
345,-157.9457646
346,-189.7632766
347,-186.0462834
348,-321.2134314
349,-334.8522822
350,-156.2013609
351,-209.3439252
352,44.98807273
353,-14.99053648
354,-169.7052429
355,-100.0102408
356,-231.8206725
357,-451.1109896
358,-85.56329376
359,-139.7741937
360,-84.54490632
361,-237.6986186
362,-119.867834
363,-257.3151171
364,-134.4281025
365,-181.6951336
366,-273.0193299
367,-315.2130482
368,-106.2371018
369,-91.6894995
370,-216.0051687
371,-296.8973879
372,-273.322751
373,-336.1693456
374,-132.7986811
375,-207.7523292
376,-104.9097931
377,-145.0493064
378,-111.2621559
379,-172.5438939
380,-91.62512868
381,-301.9646033
382,-173.5574057
383,-96.01311137
384,-98.28433292
385,-295.928093
386,-138.4108456
387,-233.0639576
388,-365.064254
389,-101.3536427
390,-94.75743263
391,-102.0162312
392,-140.5596285
393,-126.6478796
394,-137.4377406
395,-123.2312721
396,-342.4342267
397,-106.1640343
398,-91.09732132
399,-106.8033854
400,-6.868395761
401,-101.6030889
402,-146.8975733
403,-76.78450874
404,-204.6647798
405,-243.9703112
406,-107.3756223
407,-135.5720142
408,-380.6219291
409,-110.8450601
410,-277.2195746
411,-200.5441127
412,-93.20153453
413,-244.1941537
414,-66.33325176
415,-108.3034245
416,-276.2923696
417,-79.29936439
418,-18.892142
419,-82.40895289
420,-163.0818631
421,-366.5719052
422,-87.06349111
423,-390.9457974
424,-220.1508538
425,-179.6954473
426,-109.3757439
427,-113.2834719
428,-149.8020436
429,-84.9096706
430,-345.2322444
431,-241.5116084
432,-92.29725662
433,-236.647715
434,-111.0836824
435,-125.8502405
436,-170.1382822
437,-63.51788667
438,-427.2456351
439,-235.889978
440,-26.47476894
441,-242.2196216
442,-92.66698542
443,-91.67034606
444,-317.5782593
445,-104.1901759
446,-89.96932098
447,-371.0598937
448,-59.34240866
449,-419.125413
450,-106.3806824
451,-326.8091087
452,-383.9641836
453,-84.12552631
454,-454.7603682
455,-52.53117175
456,-196.3640688
457,-240.3935262
458,-402.0236947
459,-233.9134271
460,-114.3802773
461,-210.9284583
462,-120.872113
463,-365.7630468
464,-124.572696
465,-119.777327
466,-361.2542793
467,-113.5447834
468,-281.2631597
469,-187.8359754
470,-99.01535522
471,-159.1935756
472,-226.7110066
473,-91.82216739
474,-213.8654542
475,-110.0871536
476,-199.8330307
477,-91.34824553
478,-36.02886585
479,-79.98314417
480,-271.768964
481,-371.4083251
482,-112.1211931
483,-410.5576921
484,-152.2712304
485,-61.48936681
486,-149.9281784
487,-449.5737276
488,-303.4875
489,-36.40006045
490,-111.2740862
491,-497.4682183
492,-150.4084608
493,-83.99949719
494,-128.7228398
495,-80.4852138
496,-123.6900591
497,-258.5282357
498,-125.1388724
499,-179.3781242
500,-78.56764439
501,-122.088186
502,-73.67208325
503,-131.776228
504,-336.1211377
505,-352.5276509
506,-26.03754877
507,-157.3513691
508,-109.9317395
509,-101.4780804
510,-292.0825685
511,-364.0695492
512,-328.7900961
513,-114.5372577
514,-99.98721295
515,-124.7509078
516,-224.7045527
517,-123.818686
518,-60.43476822
519,-266.7258695
520,-187.591901
521,-134.2949226
522,-92.99250149
523,-132.0520913
524,-132.9104427
525,-345.8573841
526,-110.0078101
527,-124.1572926
528,-425.1356802
529,-365.0233864
530,-408.2129673
531,-531.2846687
532,-118.8463265
533,-104.6443061
534,-234.6323075
535,-162.8501126
